title,author,date,content
Marko Marin: 'The German Messi' who shone alongside Ozil but failed at Chelsea,Emma Smith,"Mar 20, 2021",The attacking midfielder looked set to be a world-beating talent but injuries and bad moves prevented him from living up to the hype
Dest at the double: USMNT star offers Messi another glimpse of Barcelona's bright future,Tom Maston,"Mar 21, 2021",The full-back scored twice in Sunday's 6-1 thrashing of Real Sociedad as the Blaugrana maintained their superb league form in 2021
"'Besides Messi and Ronaldo, everyone deals with it' - USMNT ace Sargent opens up on goal droughts",Ryan Tolmich,"Mar 25, 2021","After losing his scoring touch, the 21-year-old Werder Bremen forward is back on form ahead of friendlies against Jamaica and Northern Ireland"
Messi has Barcelona dreaming of unlikely double after latest missile,Tom Maston,"Mar 16, 2021",The Argentine scored his second brilliant long-range effort of the week against Huesca to keep the Blaugrana on Atletico Madrid's heels
Messi bows out with bolt from the blue - but can improving Barcelona persuade him to stay?,Rik Sharma,"Mar 10, 2021","The Argentine star scored a superb goal against PSG on Wednesday, but despite an improved performance it was not enough for Ronald Koeman's side"
Messi's last stand: Barcelona's Champions League dream set to end in Paris,Rik Sharma,"Mar 10, 2021",The Argentine is desperate to win another European title for his club but there is little chance of overturning a 4-1 first-leg deficit against PSG
"No money, no Messi? The challenges facing new Barcelona president Laporta",Rik Sharma,"Mar 11, 2021",Joan Laporta was rightly in a celebratory mood after last weekend's election triumph but he knows that he now has several major problems to solve
"Nicolae Stanciu: Meet the Messi-loving, former Chelsea target looking to end Arsenal's Europa League hopes",Emanuel Rosu,"Apr 07, 2021",The Blues had a €7m bid for the Romanian rejected in 2016 but now he's in London looking to help Slavia Prague upset the Gunners at the Emirates
The Messi-Ronaldo show may be ending - but the Mbappe-Haaland spin-off has already begun,Mark Doyle,"Mar 09, 2021","This week could signal a changing of the guard, with both Messi and Ronaldo facing Champions League elimination, as two young stars take centre stage"
Pique to the rescue as Messi's dream of one last Barcelona trophy stays alive,Rik Sharma,"Mar 03, 2021",The defender's late header took the Blaugrana's Copa del Rey semi-final with Sevilla to extra-time before Martin Braithwaite secured a final berth
'Messi in his legs but who knows what's in his head' and now Ben Arfa's row with Koscielny rocks Bordeaux,Robin Bairner,"Mar 03, 2021","Captain Koscielny delivered a scathing press conference last week, taking aim at his team-mates, with a Ligue 1 fixture against PSG to come"
Messi and Pep v Lewandowski and Flick: Who wins between Barcelona 2009 and Bayern 2021 in sextuple showdown?,Rik Sharma,"Feb 12, 2021","Pep threw down the gauntlet this week, playfully suggesting that his 2009 Barcelona team, who won six trophies, should take on this year's Bayern"
Barcelona's brutal reality check: Mbappe-inspired PSG show why Messi wanted to quit Camp Nou,Rik Sharma,"Feb 17, 2021",The Blaugrana captain put his side ahead at Camp Nou with a penalty but Ronald Koeman's side capitulated in the second half of a chastening 4-1 defeat
Messi and Neymar: Underpaid or crippling their clubs with colossal contracts?,Mark Doyle,"Feb 16, 2021","Some pundits have attributed Barcelona's financial problems to their captain's salary, while the injury-prone Brazilian is set for a new deal at PSG"
Mbappe's career-defining performance against Barcelona sets PSG star up as heir to Messi and Ronaldo,Robin Bairner,"Feb 17, 2021","PSG's World Cup winner had suffered a poor season up to now, judged by his own standards, but he was flawless in the absence of Neymar to punish Barca"
Messi to the rescue again - but time is running out for Barcelona to prove they deserve his loyalty,Tom Maston,"Feb 07, 2021",The Argentine came off the bench to turn Sunday's clash with Real Betis on its head following yet another week of speculation regarding his future
Barcelona's big mistake is gifting Suarez to Atletico Madrid - not Messi's millions,Daniel Edwards,"Feb 03, 2021","Atletico players can scarcely believe their fortune in landing the accomplished Uruguayan forward, whose goals have propelled them towards the title"
Yusuf Demir: The 'Austrian Messi' on Barcelona & Man Utd's radar,Tom Maston,"Feb 01, 2021","The 17-year-old playmaker looks set to leave Rapid Vienna this summer, with a host of Europe's top clubs already chasing his signature"
"Forget about Haaland, Neymar and Messi: Barcelona are battling bankruptcy",Mark Doyle,"Apr 02, 2021","While some people remain caught up in transfer talk, the cash-strapped Catalan club is facing up to the grim reality of potential collapse"
Is Neymar any closer to dethroning Messi & Ronaldo a decade after Copa Libertadores glory?,Daniel Edwards,"Jan 29, 2021","The last time Santos reached the Copa Libertadores final, they had a teenager called Neymar who was expected to take the football world by storm"
Don't blame Messi for lashing out - Barcelona and his body are failing him,Rik Sharma,"Jan 19, 2021","The Argentine saw his frustrations boil over in the Spanish Super Cup final, but it is no surprise he is angry given the situation he finds himself in"
Messi's back! Barcelona captain smiling again after four goals in two games,Mark Doyle,"Jan 10, 2021",The Argentine has moved clear at the top of the Liga goalscorer charts with another double in Saturday's impressive 4-0 win at Granada
Messi to MLS? Barcelona superstar's wish could pave the way for game-changing move,Ryan Tolmich,"Dec 30, 2020",It would require a lot of legwork to make Messi's dream a reality but there are several reasons why the Argentine could end up in the United States
Messi writes another chapter in Barcelona's history but Pedri offers hope for the future,Mark Doyle,"Dec 23, 2020",The Argentine broke one of Pele's records in a 3-0 win at Real Valladolid but his link-up play with a teenage team-mate was of greater significance
Gomez & Gasperini's painful divorce: How Atalanta's Ronaldo has ended up mirroring Messi at Barcelona,Mark Doyle,"Dec 23, 2020","The 32-year-old Argentine has played a pivotal role in the Bergamaschi's emergence as one of Europe's top teams, but he's heading for a January exit"
"Farewell, Sabella: The unassuming coach who inspired Messi's best Argentina displays",Daniel Edwards,"Dec 10, 2020",The ex-Estudiantes and Albiceleste boss stood out not just for his record on the pitch but his decency and social commitment away from it
Koeman's abysmal Barcelona leave Messi to fight Ronaldo's Juventus all alone,Mark Doyle,"Dec 08, 2020",The Argentine kept going right until the end of Tuesday's 3-0 loss at home but he was let down by those around him once again
Ronaldo escaped Real Madrid at the right time but Messi's Barcelona empire is crumbling,Rik Sharma,"Dec 07, 2020",The Catalans are coming off the back of yet another defeat and are struggling in Europe while Ronaldo's Juventus adventure has yielded two titles
'When you act from the heart you really feel it' - Inside Messi's moving Newell's tribute to Maradona,Daniel Edwards,"Dec 01, 2020","The pair could not have been more different, but their lives have been intimately connected ever since the infant Messi witnessed Diego take the field"
"Messi, Cadiz and the love affair that never was",Ignasi Oliva Gispert,"Dec 04, 2020","The Barcelona star will come up against Cadiz on Sunday, but 15 years ago he could have ended up spending a season on loan at the club"
Neymar and Messi together again? Why PSG's dream deal could become a reality,Robin Bairner,"Dec 05, 2020","If there is a reunion between the two former colleagues, it seems bound to be at Parc des Princes  and there is every reason to believe it is possible"
Why Messi is edging closer to Barcelona exit: From Guardiola's new contract to the presidential election,Mark Doyle,"Nov 27, 2020","The Argentine clearly loves the club, the city and its people but it's likely that his determination to leave has only strengthened in recent months"
"Farewell Mascherano: Alongside Messi, Argentina's most successful modern player",Daniel Edwards,"Nov 17, 2020","He may not have been the most technically gifted, but Masche more than made up for it with his unrivalled commitment to the cause"
Pique injury plunges Barcelona deeper into despair on another miserable night for Messi & Co.,Rik Sharma,"Nov 21, 2020",The veteran defender left the field in tears after suffering what looked like a serious injury in a dismal 1-0 loss at Atletico Madrid on Saturday
Incompatible with Messi & overtaken by Lautaro: Dybala in danger of becoming Argentina's forgotten man,Daniel Edwards,"Nov 11, 2020",The 25-year-old's international career has been a flop to date and his latest withdrawal will only see him fall further down the pecking order
Magical Messi reminds Griezmann how to play football for Barcelona,Mark Doyle,"Nov 07, 2020",The Argentine came off the bench in Saturday's 5-2 win over Betis to set up a badly needed goal for his struggling team-mate with an outrageous assist
"Unlike Messi, Pirlo has no magic wand for resolving all of Juventus' problems",Mark Doyle,"Oct 29, 2020","The Bianconeri may have been without their ""GOAT"", Cristiano Ronaldo, for Wednesday's loss to Barcelona, but their issues run deeper than absentees"
At least Koeman has Messi: Ronaldo absence another blow for Juventus boss Pirlo,Mark Doyle,"Oct 28, 2020","The Portuguese tested positive again for Covid-19 on Tuesday, ruling him out of the Bianconeri's Champions League showdown with Barcelona in Turin"
"The 'new Pogba', the 'Moroccan Messi' & the 'tiny madmen': The Barcelona wonderkids aiming to follow in Fati's footsteps",Tom Maston,"Oct 28, 2020","La Masia has been criticised in recent years, but it's hoped that the forward's emergence can be the catalyst for a new golden generation to thrive"
No goals from open play in six games - Messi becoming a big problem for Barcelona boss Koeman,Rik Sharma,"Oct 25, 2020","The Blaugrana are winless in their last three Liga matches following Saturday's Clasico defeat to Real Madrid, but could their talisman be doing more?"
Nightmare's over: Messi and Barcelona's young guns make perfect start to post-Bartomeu era,Rik Sharma,"Oct 28, 2020",The Argentine recorded a goal and an assist as the Blaugrana celebrated the end of a forgettable era with victory over Juventus in Turin
"Ronaldo gone, Messi leaving? Clasico decline encapsulates La Liga's problems with the Premier League, tax and Covid-19",Mark Doyle,"Oct 23, 2020","Neither Barcelona nor Real Madrid are looking particularly strong, on or off the field, going into Saturday's game at Camp Nou - Goal explains why"
"Before Messi and Cruyff, there was Kubala, Kocsis and Czibor: How Ferencvaros made Barcelona great",Sam France,"Oct 20, 2020","In Laszlo Kubala, Sandor Kocsis and Zoltan Czibor, the Hungarian side brought through three of the Catalans' greatest-ever players"
Messi's Last Dance? Barcelona are far from Champions League contenders,Rik Sharma,"Oct 19, 2020","There is a significant rebuild ongoing, but in the Argentine's last season with the club his chances of winning a fifth European title are slim"
The sad & sorry state of football in Bolivia as Messi prepares to pile on the misery,Daniel Edwards,"Oct 13, 2020","Covid-19, political and economic strife and serious allegations against their coach have created a perfect storm for the Verde in 2020"
"Man Utd, Messi & the winners and losers of the summer transfer window",Tom Maston,"Oct 06, 2020","Despite the impact of Covid-19 it has been another busy period of comings and goings around the world - but who has had the best, and worst, window?"
No place like home! Argentina duty a breath of fresh air for Messi after Barcelona strife,Daniel Edwards,"Oct 07, 2020","The Albiceleste captain's relationship with his home country has often been complicated, but any excuse to escape Camp Nou will be welcome right now"
Messi vs Ronaldo and the winners and losers of the Champions League group stage draw,Jonathan Smith,"Oct 03, 2020",The two best players in the world will go head to head for the first time in the Champions League group stage in the standout tie of the season
"Barcelona's 'brutal drama': What does the new season hold for Messi, Bartomeu & Koeman?",Mark Doyle,"Sep 26, 2020","Both the under-fire president and the want-away captain are still at Camp Nou, so it is hard to know what to expect other than more chaos in Catalunya"
Fearless Fati offers Barcelona hope for their Messi-less future,Rik Sharma,"Sep 27, 2020",The 17-year-old scored two and won a penalty as Ronald Koeman's first match in charge of the Blaugrana ended with a 4-0 win over Villarreal
Messi stays at Barcelona: What does the future hold?,Rik Sharma,"Sep 08, 2020",There is a presidential election around the corner meaning uncertainty still looms over Camp Nou following the No.10's confirmation that he will stay
Fati vs Messi: How does Barcelona's record-breaking teen star compare to the Camp Nou legend?,Kieran Francis,"Sep 07, 2020","The 17-year-old keeps setting new benchmarks for club and country, but how does his early career compare to the six-time Ballon d'Or winner?"
"Messi’s Barcelona heartbreak revealed: From his son's tears, to refusing to go to trial - full truth behind 'brutal' transfer saga",Rubén Uría,"Sep 04, 2020","WORLD EXCLUSIVE: From his son's devastation to the Camp Nou president's betrayal, the Argentine explained all on what happened with his attempted exit"
'Argentine football is a bloodbath' - Messi leaving Barcelona not the start of a fairy tale homecoming,Daniel Edwards,"Sep 01, 2020","The President of Argentina has lent his voice to the campaign to repatriate the six-time Ballon d'Or winner, but such a move looks extremely unlikely"
Messi que un club: Leo is bigger than Barcelona,Mark Doyle,"Sep 02, 2020",They say that no player is bigger than the club but the Argentine is putting that old adage severely to the test as he bids to quit Camp Nou
From behind Lingard to replacing Messi? Man Utd flop Depay ready for return to the big time,Kieran Francis,"Aug 31, 2020",The Netherlands attacker has rebuilt his career in France with Lyon and now looks set for another shot at one of Europe's elite clubs
Losing their DNA: Barca's dismissal of Suarez shows Messi is not their only problem,Daniel Edwards,"Sep 02, 2020","The striker is close to agreeing a deal to join Juventus, pushed out of Barca unceremoniously after six years of stellar service up front"
"Messi's beautiful Barcelona career to end in tears, despair and ugly divorce",Mark Doyle,"Aug 26, 2020",It was always thought that the Argentine would end his top-flight club career in Catalunya but the stage is now set for a bitter court battle
Bigger than Beckham? Creativity required to make Messi to MLS anything less than improbable,Ryan Tolmich,"Aug 26, 2020","The Barcelona star remains a dream singing for any club, but completing any kind of deal will prove very, very difficult for teams in North America"
Forget Messi or De Bruyne: How 'phenomenal' Kimmich became Europe's most creative player,Josh Thomas,"Aug 24, 2020",No player in Europe's premier club competition laid on more chances for their team-mates this season than the versatile 25-year-old
The fall of Barcelona's empire: How Bartomeu has left Messi on the brink of quitting Camp Nou,Mark Doyle,"Aug 23, 2020","The Catalans conquered Europe in 2015 with a brilliant attacking trio but Neymar is now gone, Luis Suarez is past his best and Messi is disillusioned"
Inter don't need Messi: Conte staying key to ending Juventus' Serie A domination,Mark Doyle,"Aug 26, 2020","The Nerazzurri would obviously love to sign the wantaway Barcelona superstar, but persuading their coach to continue is of far greater significance"
'Messi left with no choice but to step aside' - Barcelona exit won't affect idol status in Argentina,Daniel Edwards,"Aug 25, 2020","The forward will remain a hero in his homeland whether he joins Manchester City, Paris Saint-Germain or his beloved Newell's Old Boys"
Why Messi is the wrong signing for PSG,Robin Bairner,"Aug 26, 2020","It may sound strange, but recruiting arguably the greatest player in the history of the game is the wrong move for a club that needs more depth"
Messi and Barcelona at lowest ebb since Champions League destruction by Bayern,Rik Sharma,"Aug 14, 2020","On their way to the treble in 2015, the Catalans overcame Bayern but this current side has more in common with the one hammered two years previous"
Time for Messi to flee Barcelona disaster magnet – unless there's a Camp Nou coup,Rik Sharma,"Aug 15, 2020",Josep Maria Bartomeu must step down immediately as club president after an historic humbling highlighted just how far the Blaugrana have fallen
"Where now for Messi - Barcelona, Man City, Inter or Newell's?",Daniel Edwards,"Aug 19, 2020","The Argentine wizard could walk into any team in the world, which makes his lack of real options amid the Camp Nou crisis all the more puzzling"
Barcelona are Champions League outsiders but with Messi they always have a chance,Rik Sharma,"Aug 09, 2020",Beyond the Barca No.10 there is not an awful lot to be excited about but with the six-time Ballon d'Or winner in the ranks they will still have a shot
Messi and Ronaldo find themselves at concerning Champions League crossroads,Daniel Edwards,"Aug 06, 2020","The pair's stars remain undimmed but the same cannot be said for their respective Barcelona and Juventus set-ups, which leave much to be desired"
Barcelona's biggest failure is not giving Messi the team-mates he's deserved,Rik Sharma,"Aug 07, 2020",Another Champions League knockout stage sees Barcelona stand only a remote chance of winning the title and Messi has not tasted success since 2015
The worst Barcelona team of the last 12 years - and Messi's right to be angry,Mark Doyle,"Jul 17, 2020",Losing meekly to Osasuna at home was the latest indignation suffered by this Barca side and their talismanic captain is running out of patience
The new Xavi? Barcelona legend Messi really can do it all,Mark Doyle,"Jul 11, 2020",The Argentine matched the legendary midfielder's tally of assists in a single season by setting up Arturo Vidal for the only goal at Valladolid
Messi leaving Barcelona? It's Bartomeu who's now facing an early exit,Mark Doyle,"Jul 04, 2020",The club president is not due to step down for another year but the captain's refusal to sign a contract extension is likely to change things
A tale of two captains: Ramos and Messi continue to define La Liga title race,Tom Maston,"Jul 05, 2020","The skippers on each side of the Clasico divide were in fine form on Sunday, though it is Real Madrid who are closing in on becoming Spanish champions"
Messi falling into the 'Jordan Rules' trap due to Barcelona incompetence,Daniel Edwards,"Jul 01, 2020",What the Argentine would not give for a Pippen or Rodman-like figure by his side as this uninspiring Blaugrana team meekly surrenders La Liga
Pjanic for Arthur! Barcelona are wasting Messi's final years,Mark Doyle,"Jun 29, 2020",Swapping the 23-year-old Brazilian for the 30-year-old Bosnian makes no sporting sense but the Blaugrana have to balance the books
Messi has 700 goals - but Barcelona have even more problems,Mark Doyle,"Jul 01, 2020",The Argentine reached another historic landmark on Wednesday but a 2-2 draw with Atletico Madrid all but ended his side's Liga title hopes
Respect! Rakitic upstages Messi to silence Barcelona haters - for now,Mark Doyle,"Jun 23, 2020",The Croatian has long been a figure of hate for the Blaugrana's online followers but he was the hero in Wednesday's vital 1-0 win over Athletic Club
Luka Romero: Mallorca's 'Mexican Messi' the youngest player in La Liga history,Mario Aguirre & Ignacio Arias,"Jun 24, 2020",The 15-year-old has been linked with Manchester United and Barcelona after becoming the youngest ever player to debut in La Liga
"'Suck it, and keep sucking' - How Maradona blew Messi's best chance of winning the World Cup",Daniel Edwards,"Jun 19, 2020",The Albiceleste should have been among the favourites in South Africa 2010 but Diego's tactical incompetence and player feuds led to disaster
The title or the sack? Barcelona boss Setien must win over Messi to win La Liga,Mark Doyle,"Jun 11, 2020",The former Real Betis coach only arrived at Camp Nou in January but he has struggled to impose himself on a team surrounded by chaos
"Messi's role, Griezmann's future and the burning questions Barcelona must answer as La Liga restarts",Tom Maston,"Jun 11, 2020","The Blaugrana have been plagued by off-the-field issues during the pandemic-enforced shutdown, and they have a similar number of issues on the pitch"
Messi's toughest test yet: Mending broken Barcelona for Liga title fight with Real Madrid,Mark Doyle,"Jun 13, 2020",The Argentine's preparations for the resumption of play in Spain have been hampered by injury but his club needs him at his brilliant best right away
"Barcelona's Untouchables: Why Messi, Ter Stegen, De Jong & Ansu Fati won't be sold",Mark Doyle,"Jun 16, 2020",The Blaugrana would be willing to listen to offers for all but four members of their senior squad in order to obtain this summer's transfer targets
Where Messi favourite Lautaro would fit in at Barcelona,Mark Doyle,"May 29, 2020",The Blaugrana are hoping to meet the Inter striker's €111m buy-out clause but doubts remain over whether he will be properly utilised at Camp Nou
Messi and Guardiola's crowning moment: How Barcelona 'embarrassed' Man Utd at Wembley,Daniel Edwards,"May 28, 2020","Nine years ago today, ""the stars aligned"", to borrow Pep's own words, and Barca treated observers to one of the best team displays in football history"
"Edilson - The forgotten World Cup winner who says he's better than Messi, Ronaldo and Neymar",Daniel Edwards,"May 14, 2020","The former Corinthians striker has been in and out of jail since hanging up his boots, but he is in no doubt that he was up there with the best"
Messi and Ronaldo's retirement: Can Mbappe and Haaland match football's greatest rivalry?,Mark Doyle,"Jan 28, 2021","In Goal's new series on the future of football, we ponder whether anyone will be capable of filling the void left behind by two all-time greats"
Kays Ruiz-Atil: PSG's 'new Messi' on Barcelona & Chelsea's radar,Benjamin Quarez,"May 30, 2020",The 17-year-old was forced to leave La Masia at a young age but has largely impressed upon his return to France as he aims to make his first-team bow
"'I asked Leo, what was your name?!' - The day unknown Messi fired Argentina to World Cup glory",Daniel Edwards,"May 02, 2020","The Barcelona prospect was almost a stranger in his home country, but by the end of the 2005 Under-20 World Cup he was on the way to stardom"
A match made in heaven: Lautaro Martinez is the perfect partner for Messi at Barca,Daniel Edwards,"Apr 11, 2020","The pair have demonstrated at international level that they possess a natural rapport, and Barca must move to take advantage of that understanding"
"Messi, Bartomeu and Pique: The key figures in Barcelona's civil war",Mark Doyle,"Apr 18, 2020","Camp Nou is in crisis, with threats of legal action hanging over a boardroom dispute that looks set to have serious ramifications on and off the field"
Mythbuster: Would Messi really struggle in the Premier League?,Mark Doyle,"Mar 27, 2020",The idea that the Barcelona ace 'couldn't cut it on a cold night in Stoke' has become one of the English game's most annoying and ridiculous cliches
Mythbuster: 'Messi is not Maradona' - Did Diego win the World Cup on his own?,Mark Doyle,"Oct 30, 2020",El Diego was the star of the show at Mexico '86 but the idea that he did not have quality players around him does a great disservice to his team-mates
Mythbuster: Messi isn't as loved in Argentina as Barcelona,Daniel Edwards,"Apr 02, 2020",Talk of supposed indifference towards the record-breaking Rosario native in his home nation has dogged him since the very start of his career
When Cruyff & Eusebio took on South America - could Messi and Ronaldo ever go head to head the same way?,Daniel Edwards,"Apr 03, 2020",The two continents have dominated the game from the very beginning - but who came out on top when they met on the field?
Messi and Bartomeu salary-cut battle exposes Barcelona divisions again,Mark Doyle,"Apr 01, 2020","The Blaugrana skipper has lashed out at figures inside the club trying to discredit the players, suggesting that a civil war is edging ever closer"
Mythbuster: 'Fraudiola'! Pep is nothing without Messi,Mark Doyle,"Apr 03, 2020",The Catalan has won two Champions Leagues and titles in three different countries yet many remain unconvinced by his genius
"'Nobody knows him, how can he give orders to Messi?' - Setien's raging assistant Sarabia under the spotlight",Rik Sharma,"Mar 06, 2020",Eder Sarabia has been described as the new Jose Mourinho due to his temperament on the sidelines and his behaviour in the Clasico is causing fuss
Madrid make the most of Messi's lifeless display to revive Liga title race,Rik Sharma,"Mar 01, 2020",The Argentine was strangely out of sorts as Barcelona slumped to a 2-0 defeat at the Santiago Bernabeu that saw the hosts move above them in the table
Barcelona have a Messi problem... and they simply can't do without him,Rik Sharma,"Mar 07, 2020","Despite the headline figures, the Barca captain is far from his best at the moment with reports that he is performing while carrying a knock"
Messi brilliance helps Barcelona move on from week of turmoil,Rik Sharma,"Feb 22, 2020",Recriminations over 'Barcagate' and the signing of Martin Braithwaite meant locals were unhappy with the president and board but Messi quelled dissent
Marseille's Messi: Why Payet's Champions League-quality form could see him star at Euro 2020,Robin Bairner,"Feb 12, 2020","He may be a little thick around the middle, but the 32-year-old is back at his best at Stade Velodrome and is leading OM back to Europe's big time"
